iter	RMSE
0	0.7906997592
1	0.768243551
2	0.7476662626
3	0.7283175327
4	0.7111019221
5	0.6951894438
6	0.6767989448
7	0.6607659884
8	0.6450995689
9	0.6311363226
10	0.6178984323
11	0.6045854765
12	0.5923413355
13	0.5811378301
14	0.5715652548
15	0.560933518
16	0.5518837833
17	0.5435652926
18	0.5342754688
19	0.5273843388
20	0.5194128972
21	0.5121913802
22	0.5055827208
23	0.4994174976
24	0.4936442485
25	0.4880386531
26	0.4835390736
27	0.4794405987
28	0.4758246951
29	0.4711138861
30	0.4660848232
31	0.461524907
32	0.4583411748
33	0.4550290492
34	0.4516095829
35	0.4482834969
36	0.4451683051
37	0.4423653583
38	0.4394835077
39	0.4370422563
40	0.4351368836
41	0.4327567658
42	0.4299902047
43	0.4280516587
44	0.4258374248
45	0.4240013147
46	0.4222761753
47	0.4200651145
48	0.417944279
49	0.416329959
50	0.4148914465
51	0.4131489877
52	0.4112796199
53	0.410165682
54	0.4089039724
55	0.4074677741
56	0.4062161553
57	0.4052561814
58	0.4041053517
59	0.4029770394
60	0.4018637993
61	0.4006856756
62	0.3997891237
63	0.3989428158
64	0.3980050698
65	0.3970081096
66	0.3960061071
67	0.3950782046
68	0.3941607528
69	0.3934069795
70	0.3926853718
71	0.3918854345
72	0.3911569235
73	0.3904494445
74	0.389753611
75	0.3892961553
76	0.3884514288
77	0.3875639301
78	0.3870304094
79	0.3862898188
80	0.3855394711
81	0.3847443196
82	0.3843610714
83	0.3837225339
84	0.3830867932
85	0.3827616988
86	0.3822622142
87	0.3818743908
88	0.381525902
89	0.3809318582
90	0.3805725434
91	0.3801205377
92	0.3798429681
93	0.3793827205
94	0.3789917498
95	0.3784040975
96	0.3781209333
97	0.3777494666
98	0.3773518942
99	0.376906806
100	0.3765646007
101	0.3761215249
102	0.3757079839
103	0.3754411643
104	0.3749612985
105	0.3744278741
106	0.3741343143
107	0.3737312004
108	0.3733301172
109	0.3731613483
110	0.3728902609
111	0.3725172864
112	0.3720735139
113	0.37178435
114	0.3713726826
115	0.3711151819
116	0.3708602809
117	0.370567373
118	0.3704246212
119	0.37009451
120	0.3698127782
121	0.3697383476
122	0.3694463731
123	0.3689482052
124	0.3686480086
125	0.3684437019
126	0.3681164157
127	0.3676743838
128	0.3674229392
129	0.367339212
130	0.3672067624
131	0.3667964564
132	0.3665531207
133	0.3663438898
134	0.3661004954
135	0.3658943367
136	0.3655705807
137	0.3653111362
138	0.3651493945
139	0.3647940145
140	0.3646568898
141	0.3643198868
142	0.3640509421
143	0.3639196811
144	0.3635577679
145	0.3633899965
146	0.3631650958
147	0.3628953085
148	0.3624566122
149	0.3621792365
150	0.3619042429
151	0.361772285
152	0.3614522824
153	0.3611684168
154	0.3608293788
155	0.3605718619
156	0.3603057346
157	0.3600761585
158	0.3597884619
159	0.3595630005
160	0.3593410972
161	0.358945284
162	0.3586686193
163	0.3585474778
164	0.3582457846
165	0.3580122289
166	0.3577725607
167	0.3575755957
168	0.3573961412
169	0.3571817688
170	0.3569943338
171	0.3568591555
172	0.3566607721
173	0.3564303236
174	0.3560562973
175	0.355873773
176	0.3555129725
177	0.3553469815
178	0.3550493916
179	0.3549658928
180	0.3547997934
181	0.3545017874
182	0.3543218154
183	0.3540439055
184	0.3538315287
185	0.3535366385
186	0.353277912
187	0.3530206867
188	0.3527796781
189	0.3524351008
190	0.3523211228
191	0.352133678
192	0.3518662088
193	0.3517330916
194	0.3515529957
195	0.3512916705
196	0.350974969
197	0.3507027035
198	0.3505478822
199	0.3503239943
200	0.3501380055
201	0.3499268767
202	0.3497634338
203	0.3495004594
204	0.3492891254
205	0.3491212829
206	0.3489839626
207	0.3487796497
208	0.3486009392
209	0.3484167545
210	0.3482221421
211	0.3480722391
212	0.3479118041
213	0.3476646799
214	0.3473846994
215	0.3472011684
216	0.3469563499
217	0.3468695556
218	0.346649315
219	0.3464171738
220	0.3463260887
221	0.3461314808
222	0.3459346528
223	0.3457659762
224	0.3455948467
225	0.3454113486
226	0.345257946
227	0.3451018092
228	0.3447943129
229	0.3446192315
230	0.3444680184
231	0.3442397392
232	0.3440374285
233	0.3437771502
234	0.3436071936
235	0.3434313621
236	0.3431876521
237	0.3430358176
238	0.3428441132
239	0.342720782
240	0.3424957819
241	0.3423472573
242	0.3421493027
243	0.3420419302
244	0.3419790463
245	0.3418745214
246	0.3417520709
247	0.3416281992
248	0.3413984338
249	0.3411938857
250	0.3410362757
251	0.3409381838
252	0.340816596
253	0.3406909409
254	0.3405610967
255	0.3403104944
256	0.3401221218
257	0.3399830769
258	0.3398505056
259	0.3397147576
260	0.3396377687
261	0.3395442165
262	0.3394794735
263	0.3392754513
264	0.3391133997
265	0.3389779466
266	0.3388470583
267	0.3385587385
268	0.3384744725
269	0.3383976736
270	0.338304851
271	0.33817257
272	0.3380627132
273	0.3377946108
274	0.3377152058
275	0.3375658607
276	0.3374955564
277	0.3374090243
