iter	Passed	Remaining
0	148	148493
1	157	78783
2	167	55801
3	178	44376
4	188	37564
5	198	32821
6	207	29386
7	216	26807
8	225	24834
9	234	23177
10	243	21870
11	252	20754
12	261	19833
13	270	19020
14	278	18310
15	287	17702
16	297	17187
17	306	16701
18	314	16251
19	322	15784
20	327	15279
21	332	14785
22	336	14300
23	340	13835
24	343	13413
25	347	13008
26	350	12627
27	353	12276
28	356	11943
29	359	11637
30	363	11352
31	366	11080
32	369	10821
33	372	10583
34	375	10359
35	378	10140
36	381	9939
37	385	9747
38	388	9564
39	391	9389
40	394	9223
41	397	9066
42	400	8920
43	403	8775
44	407	8640
45	410	8511
46	419	8497
47	428	8494
48	437	8491
49	446	8482
50	455	8473
51	464	8465
52	470	8406
53	475	8329
54	479	8241
55	483	8147
56	487	8057
57	490	7966
58	493	7873
59	496	7781
60	499	7689
61	502	7603
62	505	7519
63	508	7439
64	511	7362
65	514	7287
66	517	7212
67	521	7142
68	524	7073
69	527	7006
70	530	6940
71	533	6872
72	535	6805
73	538	6742
74	542	6684
75	545	6626
76	547	6566
77	550	6509
78	553	6454
79	556	6396
80	558	6338
81	561	6280
82	563	6225
83	565	6171
84	568	6120
85	571	6069
86	573	6018
87	575	5969
88	578	5924
89	582	5890
90	585	5853
91	588	5812
92	591	5768
93	595	5737
94	598	5697
95	600	5654
96	602	5611
97	605	5572
98	608	5538
99	611	5502
100	614	5467
101	617	5435
102	620	5400
103	622	5367
104	625	5333
105	628	5301
106	631	5273
107	634	5243
108	637	5215
109	641	5186
110	644	5159
111	650	5154
112	653	5126
113	656	5099
114	658	5069
115	662	5049
116	665	5024
117	668	4998
118	673	4983
119	676	4964
120	681	4947
121	682	4913
122	685	4889
123	689	4869
124	692	4848
125	695	4826
126	698	4804
127	702	4783
128	705	4763
129	708	4741
130	711	4721
131	715	4702
132	717	4680
133	720	4659
134	723	4638
135	727	4619
136	730	4600
137	733	4581
138	736	4564
139	740	4546
140	743	4528
141	746	4511
142	749	4494
143	753	4477
144	756	4459
145	759	4440
146	762	4423
147	765	4407
148	768	4390
149	771	4373
150	775	4357
151	778	4340
152	781	4324
153	784	4307
154	787	4290
155	789	4273
156	792	4257
157	795	4240
158	798	4224
159	801	4208
160	804	4192
161	807	4176
162	810	4161
163	813	4144
164	815	4129
165	818	4114
166	821	4099
167	824	4085
168	827	4070
169	830	4056
170	833	4043
171	837	4029
172	840	4016
173	843	4002
174	846	3989
175	849	3976
176	851	3960
177	854	3947
178	857	3933
179	860	3920
180	863	3906
181	866	3894
182	869	3880
183	872	3868
184	875	3856
185	878	3844
186	881	3833
187	884	3821
188	887	3809
189	890	3797
190	893	3784
191	896	3772
192	899	3760
193	902	3748
194	905	3736
195	908	3725
196	911	3713
197	914	3702
198	916	3690
199	919	3679
200	922	3668
201	925	3658
202	928	3646
203	931	3635
204	934	3625
205	937	3614
206	940	3602
207	943	3592
208	946	3581
209	949	3570
210	952	3560
211	954	3549
212	957	3539
213	960	3529
214	963	3519
215	966	3509
216	969	3499
217	972	3489
218	975	3479
219	978	3470
220	981	3461
221	985	3452
222	988	3443
223	991	3433
224	994	3423
225	997	3414
226	1000	3405
227	1003	3397
228	1006	3388
229	1009	3379
230	1012	3370
231	1015	3361
232	1018	3353
233	1021	3344
234	1024	3336
235	1027	3327
236	1031	3319
237	1034	3311
238	1037	3302
239	1040	3294
240	1043	3286
241	1046	3278
242	1049	3270
243	1052	3262
244	1055	3253
245	1058	3245
246	1061	3237
247	1065	3229
248	1068	3221
249	1071	3213
250	1074	3205
251	1077	3197
252	1080	3189
253	1083	3181
254	1086	3173
255	1089	3167
256	1093	3160
257	1095	3152
258	1098	3143
259	1101	3135
260	1104	3128
261	1107	3120
262	1110	3112
263	1113	3105
264	1117	3098
265	1120	3091
266	1123	3085
267	1127	3078
268	1130	3071
269	1134	3066
270	1138	3062
271	1141	3054
272	1144	3047
273	1147	3039
274	1150	3032
275	1153	3026
276	1156	3018
277	1159	3011
278	1162	3004
279	1166	3000
280	1170	2994
281	1173	2987
282	1176	2979
283	1178	2972
284	1181	2965
285	1185	2958
286	1188	2951
287	1191	2945
288	1194	2938
289	1197	2931
290	1200	2925
291	1203	2918
292	1206	2912
293	1210	2905
294	1213	2899
295	1216	2892
296	1219	2886
297	1222	2880
298	1225	2873
299	1228	2867
300	1232	2861
301	1235	2855
302	1238	2848
303	1241	2841
304	1244	2835
305	1248	2830
306	1251	2824
307	1254	2817
308	1257	2811
309	1260	2806
310	1263	2799
311	1266	2793
312	1269	2786
313	1272	2780
314	1275	2773
315	1278	2767
316	1281	2762
317	1285	2756
318	1288	2750
319	1292	2745
320	1295	2740
321	1298	2733
322	1301	2727
323	1304	2721
324	1307	2715
325	1311	2711
326	1314	2705
327	1317	2699
328	1320	2693
329	1323	2687
330	1326	2681
331	1329	2675
332	1332	2669
333	1335	2663
334	1339	2658
335	1342	2652
336	1345	2646
337	1348	2641
338	1351	2635
339	1354	2629
340	1357	2624
341	1360	2618
342	1364	2613
343	1367	2607
344	1370	2602
345	1374	2597
346	1377	2591
347	1380	2586
348	1383	2581
349	1386	2575
350	1389	2569
351	1392	2564
352	1395	2558
353	1398	2552
354	1402	2547
355	1404	2541
356	1407	2535
357	1410	2529
358	1413	2523
359	1416	2517
360	1419	2512
361	1422	2506
362	1425	2500
363	1427	2494
364	1430	2489
365	1433	2483
366	1436	2478
367	1439	2472
368	1442	2467
369	1445	2461
370	1448	2456
371	1451	2450
372	1454	2445
373	1457	2439
374	1460	2434
375	1463	2428
376	1466	2423
377	1469	2417
378	1472	2412
379	1475	2406
380	1478	2401
381	1481	2396
382	1484	2391
383	1487	2386
384	1490	2381
385	1494	2376
386	1497	2371
387	1500	2366
388	1502	2360
389	1505	2354
390	1507	2348
391	1510	2342
392	1512	2336
393	1515	2331
394	1518	2326
395	1521	2321
396	1524	2315
397	1528	2311
398	1531	2306
399	1534	2301
400	1537	2296
401	1540	2291
402	1543	2286
403	1546	2281
404	1549	2277
405	1553	2272
406	1556	2267
407	1559	2262
408	1562	2257
409	1565	2252
410	1568	2247
411	1571	2243
412	1574	2238
413	1577	2233
414	1580	2228
415	1584	2223
416	1587	2219
417	1590	2214
418	1593	2209
419	1596	2204
420	1599	2199
421	1601	2193
422	1604	2189
423	1608	2184
424	1611	2179
425	1614	2175
426	1617	2170
427	1620	2165
428	1623	2160
429	1626	2156
430	1629	2151
431	1632	2147
432	1635	2142
433	1638	2137
434	1641	2132
435	1644	2127
436	1648	2124
437	1652	2119
438	1655	2115
439	1658	2110
440	1661	2105
441	1664	2101
442	1667	2096
443	1670	2092
444	1673	2087
445	1676	2082
446	1679	2077
447	1682	2073
448	1685	2068
449	1689	2064
450	1692	2059
451	1695	2055
452	1699	2051
453	1702	2047
454	1705	2042
455	1708	2037
456	1711	2033
457	1714	2029
458	1718	2024
459	1720	2020
460	1723	2015
461	1726	2011
462	1730	2006
463	1733	2002
464	1736	1997
465	1739	1993
466	1742	1989
467	1746	1984
468	1749	1980
469	1752	1976
470	1756	1972
471	1759	1968
472	1763	1964
473	1766	1960
474	1769	1956
475	1773	1951
476	1776	1947
477	1779	1943
478	1782	1939
479	1786	1934
480	1789	1930
481	1792	1926
482	1796	1922
483	1799	1918
484	1802	1913
485	1805	1909
486	1808	1905
487	1811	1900
488	1814	1895
489	1817	1891
490	1820	1886
491	1823	1882
492	1825	1877
493	1828	1873
494	1831	1868
495	1834	1864
496	1838	1860
497	1841	1855
498	1844	1851
499	1847	1847
500	1849	1842
501	1852	1838
502	1855	1833
503	1858	1829
504	1861	1824
505	1864	1820
506	1867	1816
507	1870	1811
508	1873	1807
509	1876	1802
510	1879	1798
511	1882	1793
512	1885	1789
513	1888	1785
514	1891	1781
515	1894	1777
516	1897	1772
517	1900	1768
518	1903	1764
519	1906	1760
520	1909	1755
521	1913	1751
522	1916	1747
523	1919	1743
524	1922	1739
525	1925	1735
526	1928	1730
527	1931	1726
528	1934	1722
529	1937	1718
530	1940	1713
531	1943	1709
532	1946	1705
533	1949	1701
534	1952	1697
535	1955	1693
536	1958	1688
537	1961	1684
538	1964	1680
539	1967	1676
540	1970	1671
541	1973	1667
542	1976	1663
543	1979	1659
544	1982	1654
545	1985	1650
546	1987	1646
547	1990	1641
548	1993	1637
549	1996	1633
550	1999	1629
551	2001	1624
552	2004	1620
553	2006	1615
554	2009	1611
555	2012	1607
556	2015	1603
557	2019	1599
558	2022	1595
559	2025	1591
560	2028	1587
561	2031	1583
562	2034	1579
563	2037	1575
564	2040	1571
565	2043	1567
566	2047	1563
567	2050	1559
568	2053	1555
569	2056	1551
570	2059	1547
571	2062	1543
572	2065	1538
573	2068	1535
574	2071	1530
575	2074	1526
576	2077	1522
577	2080	1518
578	2083	1514
579	2086	1510
580	2089	1506
581	2092	1503
582	2095	1499
583	2098	1495
584	2102	1491
585	2105	1487
586	2108	1483
587	2111	1479
588	2114	1475
589	2117	1471
590	2120	1467
591	2124	1463
592	2127	1459
593	2130	1456
594	2133	1452
595	2136	1448
596	2139	1444
597	2142	1440
598	2145	1436
599	2149	1432
600	2152	1428
601	2155	1424
602	2158	1420
603	2161	1416
604	2164	1412
605	2167	1408
606	2170	1405
607	2173	1401
608	2176	1397
609	2179	1393
610	2182	1389
611	2185	1385
612	2188	1381
613	2191	1377
614	2194	1373
615	2197	1370
616	2200	1366
617	2204	1362
618	2207	1358
619	2210	1354
620	2213	1350
621	2216	1346
622	2219	1342
623	2222	1338
624	2225	1335
625	2228	1331
626	2231	1327
627	2234	1323
628	2237	1319
629	2240	1315
630	2243	1312
631	2246	1308
632	2249	1304
633	2253	1300
634	2255	1296
635	2258	1292
636	2261	1288
637	2264	1285
638	2267	1281
639	2270	1277
640	2274	1273
641	2276	1269
642	2280	1265
643	2283	1262
644	2286	1258
645	2289	1254
646	2292	1250
647	2295	1247
648	2298	1243
649	2301	1239
650	2304	1235
651	2307	1231
652	2310	1227
653	2313	1224
654	2316	1220
655	2319	1216
656	2322	1212
657	2325	1208
658	2328	1205
659	2332	1201
660	2335	1197
661	2338	1193
662	2341	1190
663	2344	1186
664	2347	1182
665	2350	1178
666	2353	1175
667	2356	1171
668	2359	1167
669	2362	1163
670	2366	1160
671	2369	1156
672	2372	1152
673	2375	1148
674	2378	1145
675	2381	1141
676	2384	1137
677	2387	1133
678	2390	1130
679	2393	1126
680	2396	1122
681	2400	1119
682	2403	1115
683	2406	1111
684	2409	1107
685	2412	1104
686	2415	1100
687	2418	1096
688	2421	1093
689	2424	1089
690	2427	1085
691	2430	1081
692	2433	1078
693	2437	1074
694	2440	1070
695	2443	1067
696	2446	1063
697	2449	1059
698	2452	1056
699	2455	1052
700	2458	1048
701	2461	1044
702	2464	1041
703	2467	1037
704	2471	1033
705	2474	1030
706	2477	1026
707	2480	1022
708	2483	1019
709	2486	1015
710	2489	1011
711	2492	1008
712	2495	1004
713	2498	1000
714	2501	997
715	2504	993
716	2507	989
717	2510	986
718	2514	982
719	2516	978
720	2520	975
721	2523	971
722	2526	967
723	2529	964
724	2532	960
725	2535	956
726	2538	953
727	2541	949
728	2544	945
729	2547	942
730	2550	938
731	2553	934
732	2556	931
733	2559	927
734	2562	924
735	2565	920
736	2568	916
737	2571	913
738	2574	909
739	2577	905
740	2581	902
741	2584	898
742	2587	894
743	2590	891
744	2593	887
745	2596	884
746	2599	880
747	2602	876
748	2604	872
749	2607	869
750	2611	865
751	2614	862
752	2617	858
753	2620	854
754	2623	851
755	2626	847
756	2629	844
757	2632	840
758	2635	836
759	2638	833
760	2641	829
761	2644	826
762	2647	822
763	2650	818
764	2653	815
765	2656	811
766	2659	807
767	2662	804
768	2665	800
769	2668	797
770	2671	793
771	2674	789
772	2677	786
773	2680	782
774	2683	779
775	2686	775
776	2689	771
777	2692	768
778	2695	764
779	2698	761
780	2701	757
781	2704	754
782	2707	750
783	2710	746
784	2713	743
785	2717	739
786	2720	736
787	2723	732
788	2726	729
789	2729	725
790	2732	722
791	2735	718
792	2738	714
793	2741	711
794	2744	707
795	2748	704
796	2751	700
797	2754	697
798	2757	693
799	2760	690
800	2763	686
801	2766	683
802	2769	679
803	2773	676
804	2776	672
805	2779	669
806	2782	665
807	2785	661
808	2788	658
809	2791	654
810	2794	651
811	2798	647
812	2801	644
813	2804	640
814	2807	637
815	2810	633
816	2813	630
817	2816	626
818	2819	623
819	2822	619
820	2825	616
821	2828	612
822	2831	608
823	2834	605
824	2837	601
825	2841	598
826	2844	594
827	2847	591
828	2850	587
829	2853	584
830	2856	580
831	2859	577
832	2862	573
833	2865	570
834	2868	566
835	2871	563
836	2875	559
837	2878	556
838	2881	552
839	2884	549
840	2887	545
841	2890	542
842	2893	538
843	2897	535
844	2900	531
845	2903	528
846	2905	524
847	2908	521
848	2911	517
849	2915	514
850	2918	510
851	2921	507
852	2924	503
853	2927	500
854	2930	496
855	2933	493
856	2937	490
857	2939	486
858	2942	483
859	2946	479
860	2949	476
861	2952	472
862	2955	469
863	2963	466
864	2972	463
865	2980	461
866	2989	458
867	2998	456
868	3007	453
869	3016	450
870	3025	448
871	3034	445
872	3043	442
873	3051	439
874	3059	437
875	3064	433
876	3069	430
877	3073	427
878	3077	423
879	3080	420
880	3083	416
881	3087	413
882	3090	409
883	3093	405
884	3096	402
885	3099	398
886	3102	395
887	3105	391
888	3108	388
889	3111	384
890	3114	381
891	3117	377
892	3120	373
893	3124	370
894	3127	366
895	3130	363
896	3133	359
897	3136	356
898	3139	352
899	3142	349
900	3145	345
901	3148	342
902	3151	338
903	3154	334
904	3157	331
905	3160	327
906	3163	324
907	3166	320
908	3169	317
909	3172	313
910	3175	310
911	3178	306
912	3181	303
913	3184	299
914	3187	296
915	3190	292
916	3193	289
917	3196	285
918	3199	282
919	3202	278
920	3205	274
921	3208	271
922	3211	267
923	3214	264
924	3217	260
925	3220	257
926	3223	253
927	3226	250
928	3229	246
929	3232	243
930	3235	239
931	3239	236
932	3242	232
933	3245	229
934	3248	225
935	3251	222
936	3254	218
937	3257	215
938	3260	211
939	3263	208
940	3266	204
941	3269	201
942	3273	197
943	3276	194
944	3279	190
945	3282	187
946	3285	183
947	3288	180
948	3291	176
949	3294	173
950	3297	169
951	3300	166
952	3303	162
953	3307	159
954	3309	155
955	3312	152
956	3316	149
957	3319	145
958	3322	142
959	3325	138
960	3328	135
961	3331	131
962	3334	128
963	3337	124
964	3340	121
965	3343	117
966	3346	114
967	3349	110
968	3352	107
969	3355	103
970	3358	100
971	3361	96
972	3365	93
973	3368	89
974	3371	86
975	3374	82
976	3377	79
977	3380	76
978	3383	72
979	3387	69
980	3390	65
981	3393	62
982	3396	58
983	3399	55
984	3402	51
985	3405	48
986	3408	44
987	3412	41
988	3415	37
989	3418	34
990	3421	31
991	3424	27
992	3427	24
993	3430	20
994	3433	17
995	3436	13
996	3440	10
997	3443	6
998	3446	3
999	3449	0
