iter	RMSE
0	0.7908414135
1	0.7682654515
2	0.7466170895
3	0.7273382384
4	0.70948358
5	0.6931630491
6	0.675817997
7	0.6592854688
8	0.6450889686
9	0.6318563164
10	0.6171629147
11	0.6045658902
12	0.5933544221
13	0.5827472754
14	0.5709692918
15	0.5612131437
16	0.551291918
17	0.5426641794
18	0.5341202299
19	0.5272861754
20	0.5206329032
21	0.51380343
22	0.5067440803
23	0.5012642147
24	0.4960898047
25	0.4903914399
26	0.4849083867
27	0.4802388795
28	0.4751361133
29	0.4703950156
30	0.4661255524
31	0.4625322075
32	0.4590488407
33	0.4558270164
34	0.4519412235
35	0.4479171961
36	0.4447022984
37	0.441964313
38	0.4391330238
39	0.4366913206
40	0.4346155682
41	0.4324178601
42	0.4301029261
43	0.4278872924
44	0.4257085218
45	0.4237990906
46	0.4223155739
47	0.420253018
48	0.4188760341
49	0.4172405414
50	0.4158742855
51	0.4144226508
52	0.4131694959
53	0.4119549318
54	0.4103209632
55	0.4093322584
56	0.4081411275
57	0.4069115058
58	0.4058910585
59	0.4045793671
60	0.4036180354
61	0.4023536055
62	0.4010651764
63	0.3998685387
64	0.3989555687
65	0.3979598141
66	0.3968499508
67	0.395896661
68	0.3949785527
69	0.3941021927
70	0.3932927478
71	0.3925332735
72	0.3918528423
73	0.3913024868
74	0.3906691605
75	0.3900275361
76	0.3893152909
77	0.3889495721
78	0.3882561965
79	0.3876554785
80	0.386996043
81	0.3862595048
82	0.3855064562
83	0.3848932422
84	0.3843710279
85	0.3835620399
86	0.3830212292
87	0.3824676013
88	0.3820205669
89	0.3815170184
90	0.3810919025
91	0.3806186414
92	0.3801377718
93	0.3798050104
94	0.3793541471
95	0.3787781378
96	0.3783225374
97	0.3778218825
98	0.377361678
99	0.3770405947
100	0.3767118306
101	0.3764640685
102	0.3759382474
103	0.3756357016
104	0.3753093331
105	0.3747542224
106	0.3744876507
107	0.3740664536
108	0.3737263088
109	0.3733093828
110	0.373012524
111	0.372581568
112	0.3723558065
113	0.3719784221
114	0.3714891017
115	0.3709745872
116	0.3707676072
117	0.3704732514
118	0.3702732992
119	0.3700123022
120	0.3697847834
121	0.3693788814
122	0.3690663324
123	0.3685265567
124	0.3682722971
125	0.3680150572
126	0.3677604345
127	0.3675239647
128	0.3669879975
129	0.366389505
130	0.3660933212
131	0.3658936452
132	0.3654878145
133	0.3652391
134	0.3649069926
135	0.3646541964
136	0.3642881019
137	0.3639404968
138	0.3634788349
139	0.3631150901
140	0.3627697381
141	0.3624970117
142	0.3622486322
143	0.3618640806
144	0.3615245379
145	0.3613533899
146	0.3610805254
147	0.3608778563
148	0.3606441561
149	0.3603502946
150	0.3601337549
151	0.3599065508
152	0.3597866521
153	0.3596034596
154	0.3594216066
155	0.3592311288
156	0.3590637799
157	0.3586380126
158	0.358447312
159	0.3582038369
160	0.3580013782
161	0.3577287924
162	0.3575080131
163	0.3573144524
164	0.3570707982
165	0.356931336
166	0.356828861
167	0.3567030096
168	0.3563254027
169	0.3560672095
170	0.3559136404
171	0.35572585
172	0.3553802166
173	0.3552543508
174	0.3550848076
175	0.3548661255
176	0.3546595946
177	0.3544469928
178	0.3542278234
179	0.3539071375
180	0.3536933578
181	0.3534344747
182	0.3532222883
183	0.3529981059
184	0.3527761565
185	0.3525283628
186	0.3523981242
187	0.3521706232
188	0.3519725483
189	0.3517829273
190	0.3514671545
191	0.3513313741
192	0.3510235202
193	0.3508387884
194	0.3506727396
195	0.3504813056
196	0.3502786276
197	0.3501085248
198	0.3499297581
199	0.3497248135
200	0.3495687153
201	0.3493314876
202	0.3491419401
203	0.34890136
204	0.3486907054
205	0.3485708486
206	0.3484094585
207	0.3481244798
208	0.3479029319
209	0.3477292055
210	0.3475972457
211	0.3474358366
212	0.3473099804
213	0.3471177344
214	0.3469554351
215	0.3468126618
216	0.3466898174
217	0.3465230714
218	0.3464022087
219	0.3462712646
220	0.3460522855
221	0.3459419183
222	0.3457771301
223	0.3455135533
224	0.3453498628
225	0.3450995033
226	0.3449175889
227	0.3447612521
228	0.3445878196
229	0.3444162267
230	0.3442904946
231	0.3441959859
232	0.3440669961
233	0.3438986682
234	0.3437188056
235	0.3435277957
236	0.3433961374
237	0.3432323082
238	0.3430797054
239	0.3428973405
240	0.3427601256
241	0.3426399784
242	0.3424922179
243	0.3423593226
244	0.3421653059
245	0.3419504565
246	0.3417149378
247	0.3415506942
248	0.3413898508
249	0.3412251316
250	0.3410902237
251	0.3409764597
252	0.340808749
253	0.3407425397
254	0.3406417232
255	0.3404187557
256	0.3402996166
257	0.340193401
258	0.3400644399
259	0.3398900562
260	0.3397640815
261	0.3396292994
262	0.3394723317
263	0.3393190736
264	0.3392250334
265	0.3390690596
266	0.338952276
267	0.3388388721
268	0.3386860778
269	0.3385591007
270	0.3384898621
271	0.3383904385
272	0.3382676927
273	0.3380657801
274	0.338005834
275	0.3377640423
276	0.3376661595
277	0.3375553032
278	0.337428603
279	0.3373141637
280	0.3372148915
281	0.3371101088
282	0.3370480501
283	0.3369638648
284	0.3368606452
285	0.3367494835
286	0.3367087955
287	0.3365723933
288	0.3364697043
289	0.3362214478
290	0.3361249103
291	0.3360485166
292	0.3359266563
293	0.3358110459
294	0.3356827782
295	0.3355105639
296	0.3354543813
297	0.3352911626
298	0.3352221287
299	0.3350943859
300	0.3348498449
301	0.3347049301
302	0.3345938869
303	0.3345043936
304	0.3344110166
305	0.3342770748
306	0.3341847564
307	0.3340526834
308	0.3338737289
309	0.3337983808
310	0.3337038951
311	0.3336148527
312	0.3334938818
313	0.3333620588
314	0.3332628742
315	0.3331636505
316	0.3330774104
317	0.3330181576
318	0.3329854703
319	0.3328881409
320	0.3327797019
321	0.3326380557
322	0.332463972
323	0.3324116978
324	0.3322989021
325	0.3322065075
326	0.3320972981
327	0.3319263801
328	0.3318414062
329	0.3317252584
330	0.3315527289
331	0.33142107
332	0.3313436178
333	0.331279997
334	0.3311239555
335	0.3309580523
336	0.3308994543
337	0.3308208694
338	0.3307179048
339	0.3305852801
340	0.3305008407
341	0.330338014
342	0.3302290829
343	0.3302058608
344	0.3301352553
345	0.3300590971
346	0.3299601913
347	0.3299222838
348	0.329867654
349	0.3298358229
350	0.3297076032
351	0.3296257923
352	0.3295383054
353	0.3293926019
354	0.3292547105
355	0.3291807512
356	0.3290012994
357	0.3289090738
358	0.3287293721
359	0.3285768099
360	0.3285357587
361	0.3284282666
362	0.3282544213
363	0.3281364915
364	0.3280371909
