iter	Passed	Remaining
0	3	3667
1	8	4211
2	11	3864
3	14	3691
4	17	3544
5	21	3497
6	24	3528
7	27	3469
8	30	3406
9	33	3362
10	37	3341
11	40	3335
12	43	3329
13	46	3304
14	50	3289
15	53	3285
16	57	3297
17	60	3295
18	63	3298
19	67	3300
20	70	3296
21	74	3293
22	77	3289
23	80	3285
24	84	3285
25	87	3294
26	91	3288
27	94	3277
28	97	3263
29	100	3262
30	104	3268
31	107	3265
32	111	3261
33	114	3259
34	118	3254
35	121	3249
36	124	3238
37	127	3228
38	130	3210
39	133	3200
40	136	3194
41	139	3191
42	143	3188
43	146	3178
44	149	3179
45	153	3177
46	156	3169
47	159	3164
48	162	3162
49	166	3163
50	169	3157
51	172	3153
52	176	3145
53	179	3143
54	182	3141
55	185	3135
56	189	3131
57	192	3123
58	195	3124
59	199	3121
60	202	3118
61	205	3112
62	208	3107
63	212	3103
64	215	3098
65	218	3096
66	222	3099
67	226	3100
68	229	3096
69	232	3092
70	236	3088
71	239	3083
72	242	3077
73	245	3072
74	249	3072
75	252	3069
76	255	3068
77	259	3066
78	262	3062
79	265	3058
80	269	3053
81	272	3046
82	275	3046
83	279	3044
84	282	3039
85	285	3035
86	288	3031
87	292	3028
88	295	3023
89	298	3020
90	301	3014
91	304	3009
92	308	3005
93	311	3002
94	314	2996
95	317	2993
96	321	2989
97	323	2980
98	326	2973
99	329	2969
100	333	2966
101	336	2965
102	340	2962
103	343	2958
104	346	2954
105	349	2950
106	353	2947
107	356	2942
108	359	2937
109	362	2932
110	365	2928
111	368	2923
112	372	2920
113	375	2915
114	378	2910
115	381	2909
116	385	2907
117	388	2902
118	391	2898
119	401	2944
120	411	2989
121	421	3030
122	431	3077
123	443	3134
124	453	3171
125	463	3216
126	474	3260
127	484	3301
128	494	3339
129	502	3362
130	507	3368
131	512	3371
132	516	3368
133	520	3363
134	524	3359
135	527	3350
136	530	3344
137	534	3335
138	537	3330
139	540	3323
140	544	3316
141	547	3308
142	550	3300
143	554	3295
144	557	3288
145	561	3281
146	564	3274
147	567	3267
148	570	3259
149	574	3253
150	577	3245
151	580	3237
152	583	3230
153	586	3223
154	590	3216
155	593	3209
156	596	3201
157	599	3194
158	602	3186
159	605	3181
160	608	3173
161	612	3165
162	615	3159
163	618	3153
164	621	3147
165	625	3140
166	628	3132
167	631	3126
168	634	3120
169	637	3114
170	640	3106
171	644	3100
172	647	3095
173	650	3090
174	654	3083
175	657	3078
176	660	3072
177	664	3066
178	667	3060
179	670	3055
180	673	3048
181	677	3043
182	680	3037
183	683	3031
184	686	3025
185	690	3020
186	693	3014
187	696	3009
188	700	3004
189	703	2998
190	706	2993
191	710	2988
192	713	2983
193	716	2977
194	719	2972
195	723	2966
196	726	2961
197	729	2956
198	733	2950
199	736	2945
200	739	2940
201	742	2935
202	746	2930
203	749	2924
204	752	2919
205	756	2914
206	759	2908
207	762	2903
208	765	2897
209	768	2891
210	772	2886
211	775	2881
212	778	2876
213	781	2870
214	784	2865
215	788	2861
216	791	2856
217	794	2851
218	797	2845
219	800	2839
220	804	2834
221	807	2829
222	810	2824
223	813	2819
224	817	2815
225	820	2811
226	824	2806
227	827	2802
228	831	2798
229	834	2794
230	837	2788
231	840	2782
232	843	2777
233	846	2772
234	850	2767
235	853	2763
236	856	2758
237	859	2753
238	863	2748
239	866	2743
240	869	2738
241	872	2734
242	875	2728
243	879	2724
244	882	2720
245	885	2715
246	889	2710
247	892	2705
248	895	2700
249	899	2697
250	902	2692
251	905	2688
252	908	2683
253	912	2679
254	915	2674
255	918	2669
256	921	2665
257	925	2660
258	928	2656
259	931	2651
260	934	2646
261	938	2642
262	941	2637
263	944	2632
264	947	2628
265	950	2624
266	954	2619
267	957	2615
268	960	2611
269	963	2606
270	967	2601
271	970	2596
272	973	2593
273	977	2588
274	980	2583
275	983	2578
276	986	2574
277	989	2570
278	993	2566
279	996	2561
280	999	2557
281	1002	2552
282	1005	2548
283	1009	2544
284	1012	2539
285	1015	2535
286	1018	2530
287	1022	2527
288	1025	2522
289	1028	2518
290	1031	2514
291	1035	2509
292	1038	2505
293	1041	2501
294	1045	2497
295	1048	2493
296	1051	2489
297	1055	2485
298	1058	2481
299	1061	2477
300	1065	2473
301	1068	2470
302	1071	2465
303	1075	2461
304	1078	2457
305	1082	2454
306	1085	2449
307	1088	2445
308	1092	2442
309	1095	2437
310	1098	2433
311	1101	2429
312	1105	2425
313	1108	2421
314	1111	2417
315	1115	2413
316	1118	2409
317	1121	2405
318	1124	2400
319	1127	2396
320	1131	2392
321	1134	2388
322	1137	2384
323	1140	2380
324	1144	2376
325	1147	2372
326	1150	2368
327	1153	2364
328	1157	2359
329	1160	2356
330	1163	2352
331	1167	2348
332	1170	2343
333	1173	2339
334	1176	2335
335	1179	2331
336	1182	2326
337	1186	2322
338	1189	2319
339	1192	2315
340	1195	2311
341	1199	2306
342	1202	2302
343	1205	2298
344	1208	2294
345	1211	2290
346	1214	2286
347	1218	2282
348	1221	2278
349	1224	2274
350	1227	2270
351	1231	2266
352	1234	2262
353	1237	2258
354	1241	2254
355	1244	2250
356	1247	2247
357	1250	2243
358	1254	2239
359	1257	2235
360	1260	2231
361	1263	2227
362	1267	2223
